Heptano,
% T,Número de ondas
"3,341.00",100.190924
"3,340.00",100.151946
"3,339.00",100.098312
"3,338.00",100.053618
"3,337.00",100.034591
"3,336.00",100.045069
"3,335.00",100.076663
"3,334.00",100.115343
"3,333.00",100.151138
"3,332.00",100.180997
"3,331.00",100.200234
"3,330.00",100.197779
"3,329.00",100.169374
"3,328.00",100.132293
"3,327.00",100.113807
"3,326.00",100.124306
"3,325.00",100.150678
"3,324.00",100.175981
"3,323.00",100.193796
"3,322.00",100.20273
"3,321.00",100.201426
"3,320.00",100.194165
"3,319.00",100.188953
"3,318.00",100.183977
"3,317.00",100.166449
"3,316.00",100.132307
"3,315.00",100.097659
"3,314.00",100.080982
"3,313.00",100.079954
"3,312.00",100.07572
"3,311.00",100.057218
"3,310.00",100.034308
"3,309.00",100.02816
"3,308.00",100.052523
"3,307.00",100.101919
"3,306.00",100.153712
"3,305.00",100.184017
"3,304.00",100.186572
"3,303.00",100.175033
"3,302.00",100.166604
"3,301.00",100.167801
"3,300.00",100.177393
"3,299.00",100.191878
"3,298.00",100.201986
"3,297.00",100.192797
"3,296.00",100.15915
"3,295.00",100.119067
"3,294.00",100.101278
"3,293.00",100.116692
"3,292.00",100.14631
"3,291.00",100.159697
"3,290.00",100.144056
"3,289.00",100.113854
"3,288.00",100.094081
"3,287.00",100.096655
"3,286.00",100.113564
"3,285.00",100.13091
"3,284.00",100.142806
"3,283.00",100.148881
"3,282.00",100.145299
"3,281.00",100.128494
"3,280.00",100.105556
"3,279.00",100.08888
"3,278.00",100.079863
"3,277.00",100.067982
"3,276.00",100.049515
"3,275.00",100.037615
"3,274.00",100.04678
"3,273.00",100.07426
"3,272.00",100.104471
"3,271.00",100.126691
"3,270.00",100.142455
"3,269.00",100.159011
"3,268.00",100.180041
"3,267.00",100.201426
"3,266.00",100.214497
"3,265.00",100.215941
"3,264.00",100.212205
"3,263.00",100.211118
"3,262.00",100.210376
"3,261.00",100.201599
"3,260.00",100.184319
"3,259.00",100.166846
"3,258.00",100.153019
"3,257.00",100.137285
"3,256.00",100.117343
"3,255.00",100.102519
"3,254.00",100.103932
"3,253.00",100.120763
"3,252.00",100.142172
"3,251.00",100.157347
"3,250.00",100.159126
"3,249.00",100.145263
"3,248.00",100.123057
"3,247.00",100.109166
"3,246.00",100.116396
"3,245.00",100.137936
"3,244.00",100.150071
"3,243.00",100.135866
"3,242.00",100.103719
"3,241.00",100.080316
"3,240.00",100.085134
"3,239.00",100.112308
"3,238.00",100.137894
"3,237.00",100.143175
"3,236.00",100.127964
"3,235.00",100.102162
"3,234.00",100.073509
"3,233.00",100.046972
"3,232.00",100.029417
"3,231.00",100.02641
"3,230.00",100.035263
"3,229.00",100.048212
"3,228.00",100.062015
"3,227.00",100.08004
"3,226.00",100.106299
"3,225.00",100.140235
"3,224.00",100.174119
"3,223.00",100.193356
"3,222.00",100.184645
"3,221.00",100.151013
"3,220.00",100.113125
"3,219.00",100.088936
"3,218.00",100.077592
"3,217.00",100.070668
"3,216.00",100.069964
"3,215.00",100.081429
"3,214.00",100.09691
